Size,ijk,ikj,kji,kij,jki,jik,in_ij,in_ji,out_ij,out_ji
1,16.2,6,15,5,15.2,14,0,0,0,0
2,122,48,127,39,152.2,127.6,0.2,0,1,1.2
3,408.2,160.6,455.4,129.6,486,432.4,2,2,2,4
4,2140.6,403,3217.6,323,3322.2,2266.8,7,7,33,16.2
5,2109,778.8,3338.6,652.8,3385,2298.4,6,6,7.2,13
6,4089.6,1455.6,7672,1110,7833.2,4461.2,11.8,11.8,23.8,23
7,6154.4,2266,9354.4,1769.8,10208.8,6455.4,13,12.8,18.6,26.6
8,18298.2,3489.8,52683.4,2617.8,46082,17946.4,112.6,113.2,137.4,73.2
9,15148.4,5062.8,25328.6,4759,28071.8,19536.4,21.8,21.8,41.6,43.2
10,23288.2,6589.8,35990.6,5081.4,38090.8,27072.6,36.6,36,63.8,56.6
11,30813,9434.6,47518.2,7457.6,49006.2,35491.4,35.4,35.2,74,67.2
12,59840.6,10874.6,78194.6,8690.6,79575.6,59655.4,75.4,74.4,289.4,149.6
13,52411.8,14469.6,80349.8,11422.8,80952.2,59667,54.6,52.8,103.6,95.4
14,65994.8,18436.2,104106,15035.6,105082,74230.6,75.2,75,137.2,117
15,81426.4,22476,124304,18494.8,124257,91808.2,73.8,74,141.2,128.2
16,229407,26384.4,811472,21503.6,822962,201323,607.8,624,664,501.6
17,117171,32276.2,182904,26750,172825,126366,98.6,97.6,180,163.8
18,141250,38141.6,215180,32017.6,218478,156379,125,124,207.8,186.8
19,163398,45108.8,266059,37285.2,250443,188693,124.8,124.4,244.4,219.8
20,282078,52071.6,405055,43012.2,401754,282781,207,204,860.4,447
21,224050,60517.2,362860,50073.8,330472,251480,154.2,154.4,332.6,265.2
22,262526,69157.4,432370,58086.2,419475,295596,194.4,188.8,358.2,313.8
23,298833,80236.6,481789,67415.2,454728,339216,193,189.8,416.2,328.8
24,552117,91537.2,1.47577e+06,74902.8,1.43325e+06,568998,1115.8,1102,1356.8,736.8
25,388119,103428,633169,85333,576193,443655,233.6,231.2,561.2,471.8
26,468627,117620,760638,96456.2,734914,505457,269.2,267.2,549.2,466.6
27,483621,129738,805630,108415,746155,561629,279.4,274.4,701.6,604
28,906191,146253,1.26851e+06,122133,1.29072e+06,909801,464,440.4,1908,1018.6
29,609089,162914,1.04495e+06,136106,954262,706097,309.4,309,772.8,587.6
30,733771,181061,1.21699e+06,149628,1.16818e+06,801247,373.6,376.8,743.6,618.2
31,762944,195235,1.25573e+06,167032,1.15601e+06,875403,359.2,359.4,899.6,636
32,3.47479e+06,216170,1.04893e+07,176552,1.0535e+07,3.87198e+06,3853.8,4135.4,5127.8,3459.6
33,908744,235487,1.84441e+06,196394,1.89416e+06,1.05642e+06,395.4,397.6,967.6,706.8
34,1.08028e+06,259866,2.33768e+06,215016,2.33409e+06,1.16558e+06,488.4,464.4,988,866
35,1.08064e+06,283022,2.80971e+06,237964,2.98858e+06,1.27359e+06,474,472.6,1098.6,827.4
36,2.20027e+06,308621,3.56192e+06,256888,3.67227e+06,2.21059e+06,734.2,715.6,3208.8,1725.4
37,1.34499e+06,342431,3.84473e+06,282057,3.8443e+06,1.4789e+06,557,514.2,1252.6,1003.6
38,1.6115e+06,364213,4.30034e+06,310883,4.27571e+06,1.72723e+06,693,669,1356.4,1234.4
39,1.55394e+06,402221,4.63751e+06,330845,4.67558e+06,1.7302e+06,647.6,606.4,1439,1213
40,3.23289e+06,418798,6.83898e+06,358288,6.85181e+06,3.22363e+06,3237.6,3182,4218.8,2601.8
